 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,emotion
0,0,1.24,0,1.32,1.74,1.67,2.14,0.7,0,0,0,0.15,0,2.31,0.81,1.39,2
0,0,1.03,0,0.55,0,0.59,1.12,0.16,0.83,0,0.27,0,0,0,0,0.71,2
0,0,0.63,0,0.22,0.33,1.18,0,0.8,0.97,0,0.59,1.02,0.02,0,0,0.72,2
0,0,0,0.9,0.92,2.98,2.53,1.04,0.77,0.81,0,0,0,0,1.86,0,0,2
1.55,0.43,3.15,1.4,0.09,0.5,0,0,0,0,0,0,0,0,1.4,1.67,0,2
0.06,0.03,3.34,0.86,0.47,2.18,1,0.21,0,0.38,0.82,0.9,0,0,0.76,1.26,1.09,2
1.37,0,2.23,0.2,1.67,3.76,1.33,2.12,0.7,0,0.66,0,0.42,0,1.49,0.3,0,2
0.52,0.07,0.94,0.21,0,0.57,0.4,0.24,0,0,0.3,0,0.49,0,0,0,0.12,2
0,0,2.61,0,2.05,2.28,2.31,0.23,0.96,0,0,0,0,0,0,0,0,2
0.26,0,1.95,0.29,0,0.79,0,0.18,0,0,0.05,0,0.46,0,1.07,2.01,1.08,2
0,0,0,0,2.1,1.5,1.36,1.96,1.25,1.33,0,0,0.09,0,1.7,0.57,0,2
0,0,3.22,0.18,1.2,2.81,2.73,1.17,0,0.86,0,0,0,0,0,0,0,2
0.33,0,1.21,0.02,0.03,0.2,0,0,0,0,0.02,0,0,0,0,0,0,2
0.34,0,3.09,0,0.23,1.32,1.37,1.67,0.45,0,1.49,1.56,0,0,0.87,0.88,0,2
0.97,0,3.2,0.16,0.96,0.07,1.44,1.79,0,1.6,0.03,0.42,1.39,0,0,0,0,2
1.88,1.08,2.31,2.1,0,0,0,0.7,0.11,0.48,1.48,1.73,0.98,1.13,0,0,0.19,2
1.15,0,1.93,0.87,0.67,1.48,0.58,1.38,1.09,0.24,0.38,0,0.02,0,1.03,0,0,2
0,0.24,1.29,0,0.88,1.72,0.96,0,0.44,0.32,0.06,0,0.37,0,0,0.08,0,2
0.12,0,2.72,0,0.81,2.28,0.13,0,0,0,0.04,0,0.6,0,0,0.04,0.68,2
0,0,3.37,0,0.99,2.8,1.44,0.73,0.93,1.16,0.39,1.56,0,0.2,0.88,1.03,0,2
1.3,0,1.89,1.03,1.12,0.89,0,1.69,1.19,1.95,0.99,0,2.36,0,2.29,0.02,0.19,2
0.73,0,2.94,1.05,0.34,2.45,1.33,1.15,0,0.62,1.08,0,1.71,0,2.8,0.43,0,2
0,0,4.37,0,2.23,4.77,3.07,1.31,0,1.13,1.61,1.85,2.24,0.06,0.37,0.43,0,2
0,0,2.95,0,1.65,2.83,2.89,2.24,0,0.66,2.52,2.06,0.9,0,0.74,0.94,0.25,2
0,0,2.8,0,0.15,1.97,2.37,2.29,0,0,1.38,0.88,0,0,0.79,0.86,0,2
0,0,1.43,0.13,1.72,2.36,3.44,2.45,0.48,0.9,1.38,1.66,1.6,0,0.97,0.87,0,2
0,0,3.52,0,2.09,4.19,3.56,2.21,0,0.59,1.32,1.37,0.36,0.14,0.11,0.63,0.06,2
0,0,2.54,0.18,1.99,2.69,2.55,2.44,0.79,0.98,1.07,1.4,1.48,0.05,0.95,0.24,0,2
0.13,0,3.34,0,2.12,4.69,3.58,1,0.07,1.05,0.64,0.68,0.52,0.29,0.45,0,0.29,2
0.26,0,2.2,0.52,1.75,4.76,3.58,1.77,0,0,2.14,2.3,0.27,0.51,0.82,0.69,0,2
0,0,3.3,0,2.44,3.94,3.78,1.54,0.96,1.03,0.81,0,0.82,0,2.19,0.33,0.18,2
0.41,0,2.36,0,0.9,4.35,2.43,1.67,0,0,2.72,3.05,0.25,0.55,0.03,0.39,0,2
1.01,0.72,2.3,0,1.97,4.46,1.88,2.89,0,0.26,1.79,1.74,1.79,0,0.41,0,0.68,2
0,0,1.7,0.09,1.81,2.6,3.39,2.38,0.26,1.13,1.72,1.58,0.62,0,0.92,0.21,0,2
0,0,3.47,0,1.95,4.28,4.42,2.36,0.66,0.26,0.36,0.16,0,0,1.9,0,0,2
0,0,1.94,0,2.27,3.09,4.37,2.83,0.86,1.08,1.42,0,0.89,0,2.46,1.29,0,2
0,0,3.18,0,3.03,4.46,2.75,2.22,1.47,1.78,1.34,0.03,2.58,0,2.77,1.63,0.19,2
0,0,2.97,0,1.22,3.66,2.7,1.64,0,0.57,2.06,1,0.95,0,0.03,0,0,2
0,0,2.76,0,0.21,1.66,1,0,0,0,0.09,2.39,1.03,0.69,0,0.43,0.31,2
0.43,0,3.78,0.16,1.51,3.56,3.86,1.48,0,0.18,1.98,1.54,1.8,0,1.16,0.87,0,2
0,0,1.71,0,3.5,4.71,4.73,2.92,1.81,0.4,0.72,0,0,0,3.56,0,0,2
0.02,0,3.17,0.12,2.47,4.7,3.82,1.88,0.89,0.41,0.72,0,0.61,0.41,0.96,0,0,2
0,0,4.14,0,2.7,4.6,2.91,2.5,0.88,1.86,2.21,0.83,1.16,0,2.26,0.83,0,2
0.64,0.82,1.8,0.52,0,0,0,0.36,1.18,0.89,0.67,0.61,0.12,0.73,0,0,0.22,2
0,0,3.93,0,2.76,3.61,3.09,3.37,0.12,0.5,2.03,0,1.03,0,3.05,1.3,0,2
0,0,0.72,0.07,1.53,3.01,2.97,1.43,0.24,0.98,2.17,0.46,1.5,0,0.5,0.72,0,2
0,0,3.1,0,2.82,3.89,3.37,3.76,0.83,2.46,1.42,2.56,1.19,0.51,0.34,0.65,0.03,2
0,0,0.02,0,1.57,3.85,1.69,1.9,0.29,0.67,1.3,1.35,0.65,0,0.73,0.79,0,2
1.68,1.16,0.4,1.78,1.75,1.53,0,0.21,1.04,0.24,0.9,0,2.14,0,1.82,0.72,0,2
0.66,0,0.6,0.12,0.4,1.45,0,1.22,1.2,0,0.29,0,0.83,0,2.34,0.37,0,2
0,0,1.83,0,0.86,2.07,3.29,1.71,0,0,0.97,0.73,0.77,0,1.24,1.18,0,2
0.72,0,1.63,0.05,1.28,3.11,2.99,2,0,0.59,1.63,0.15,0.97,0.55,1.57,0.4,0,2
0.4,0,2.67,0,1.65,2.54,2.89,2.11,0,1.2,1.51,2.7,0.25,0,0,0.25,0,2
0,0,0.42,0,0.89,3.73,1.04,0.25,0.24,0,1.22,0.64,0.83,0,1.99,1.14,0.32,2
0,0,0,0.43,0,0,0.29,0,0,0,0.77,0,0.95,0,0,0.1,1.3,2
0,0,2.55,0,0.85,0.81,0.96,0.58,0.19,1.1,0,1.19,0,0.22,0,0,0,2
2.55,3.06,1.12,1.16,0.88,2.18,0.66,0.62,0.02,0.8,0,0.53,0.21,0,1.73,1.9,0.35,2
1.08,0,1.68,0.18,1.88,2,0.79,2.21,0.98,2.17,0.05,0,0,0,0.61,0.97,0,2
1.93,0.24,0.41,0.21,0.35,1.02,0,0,1.09,0.78,0,0,0.03,0,2.11,0,0,2
0,0,0,0.48,0.08,0,1.91,0.3,0.13,0.88,0,0.06,0,0,0,0,0,2
0.11,0,0,0,1.92,2.57,2.51,2.95,0,0,2.35,1.8,1.31,0,0.05,0,0.26,2
0.12,0.5,0.61,0.6,1.34,2.2,1.63,1.39,0.65,2.63,1.21,1.87,0,0,0.17,0.31,0,2
0.03,0,2.77,0,1.93,2.88,3.18,3.01,0.48,1.32,0.34,0.13,0.22,0,3.37,0.65,0,2
0.66,1,0.2,1.1,2.46,0,1.37,2.18,1.02,0.82,0,0,0.24,0.6,2.32,0.53,0,2
0,0,0,0.21,0,1.4,1,0,0,0,0.9,1.02,1.59,0,0,1.74,0.58,2
0.33,0.28,2.09,1.29,0.84,0.71,1.02,2.02,0.02,0.4,1.12,0.17,1.19,0,2.13,0,0,2
1.67,0.45,0.37,1.07,1.31,1.46,1.28,0.76,1.01,1.28,0,0,0,0.06,0.14,0,0.4,2
0,0,0.81,0,1.55,3.01,2.91,1.14,0.13,0,0.54,0.76,0,0,0.21,1,0.99,2
0.56,0,1.68,0,2.47,1.53,1.16,2.19,1.99,0.75,0.04,0,0,0,2.09,0.17,0,2
1.62,0,0.02,0.6,1.54,2.27,0.37,0.99,1.51,0.38,0.75,0,0,0,2.05,0.47,0.07,2
0.67,0,4.09,0.38,1.84,2.04,1.01,2.79,1.98,1.54,0,0,0,0,1.62,0.44,1.39,2
0,0,2.94,0,1,3.17,2,1.28,0,0.88,0.45,3.05,0.29,0,0,0.68,1.24,2
0,0,0.33,0,1.7,1.56,3.08,1.99,0.48,0.92,0,1.76,0,2.51,0.87,0,1.11,2
0.99,0,3.42,0.23,1.38,1.04,0.85,1.64,0,0.87,0.44,0.79,0,0,0,0.16,0,2
0,0,0.25,0,1.15,0.18,1.39,1.33,0.37,1.68,0.12,0,1.39,0,0.43,0,3.13,2
1.6,0,2.39,0,0.77,1.29,0,0.43,0.78,0,0.52,0,0.88,0,1.56,0,0.04,2
0.1,0,3.73,0.79,1,2.14,2.08,1.67,0,0.65,0.28,2.42,0.57,0.46,0,0.09,0,2
0.91,0,1.48,0.14,0.95,3.72,1.26,0.75,0,0.12,0.56,0,1.36,0.21,1.03,0,0.46,2
0.59,0,2.43,0.02,1.46,1.72,1.31,2,0,0,2.12,1.9,0.03,0,0,0,0,2
1.08,0,1.37,0.72,0.34,1.07,1.02,1.56,0.5,0,0.87,0,0.39,0,1.94,1.42,0,2
0.74,0,3.11,0,0.76,2.57,1.46,0.04,0,0.55,0.75,0.58,0.4,0.03,0,0,0.86,2
0,0,0.89,0,1.04,3.03,2.58,0.87,0,0.9,1.05,0,0.82,0,1.45,0.54,0,2
0,0,0.9,0,1.05,2.77,2.68,1.02,0,1.01,1.01,0,0.86,0,1.56,0.45,0,2
0,0.14,0.28,1.3,1.51,1.67,1.73,1.75,1.38,0.97,0.9,0,2.65,0,1.83,0.35,0,2
0,0,1.84,1.04,2.64,4.43,4.01,1.64,0,1.38,0.75,0.32,2,0,1.35,0,0,2
0.22,0.16,2.51,0.06,1.08,2.37,2.57,1.38,0,0.48,0.23,1.15,0,0.11,0,0,0,2
0.66,0.28,0,0.36,0.94,1.22,0.65,1.65,0,1.65,1.34,1.82,0,0.16,0.27,1.12,0,2
0,0,1.46,0,1.31,1.66,0.74,1.26,0.73,1.07,0,0,0.35,0,0.69,0.47,0.7,2
1.24,0,3.39,0.24,0.93,3.66,1.6,2.16,0,0.36,2.26,0.8,1.35,0,1.19,0,0.5,2
0,0,0.15,0,1.57,1.97,1.27,1.79,0.05,0,1.51,1.41,0,0,0,0,0.03,2
0,0,2.19,0,1.97,2.9,3.16,2.64,0.61,2.63,1.26,2.22,0,0.38,0.7,0.65,0.47,2
0,0,1.63,0,1,3.04,2.17,1.59,0.28,1.29,0,0,0.46,0,1.75,0.47,0.26,2
0.14,0,3.09,0,1.4,3.16,2.52,1.27,0,0,0.64,1.23,0.81,0,0.89,0,1.66,2
0.9,0.64,2.1,2.41,0,0.07,0,1.13,0,1.15,0.09,0.1,0.26,0,0.77,0.99,0,2
0.14,0,0.57,0,0.41,1,1.75,1.24,0,0.65,0.39,0.34,0.26,0,0,0,0,2
0.65,0,0.59,0.13,0.48,2.22,0,0,0,0,0.31,0,1.37,0,0.26,0.28,0,2
0,0,2.91,0,2.09,1.28,0.94,2.71,2.15,2.06,0,0.2,0.34,0,1.79,0.55,0,2
0.98,0,2.09,0,1.38,3.64,0.3,0.81,0.02,0,1.15,0.96,0.95,0,0.03,0.39,0.45,2
0,0,1.65,0,0.55,0.86,0,1.7,0.84,0.71,0,0,0,0,0.2,0.48,0,2
1.66,0,0.3,0,0.98,2.26,0.32,0.16,0.73,0.48,0,0,1.27,0,1.12,0.6,0.05,2
0.35,0,0.82,0,1.69,2.7,2.74,2.06,0.6,1.75,0,2.43,1.6,0.81,0,0,0,2
0.27,0,3.19,0,0,1.08,2.2,0.13,0,0.53,0,0.82,0,0.32,0,0.05,0,2
0,0,2.12,0,0.01,0.6,0,0,0,1.66,0.23,1.5,0,1.1,0,0.86,0.29,2
1.12,0,1.01,0.16,0,0,0,0,0.22,0.06,0.28,0,0,0,0.93,0.27,0,2
0,0,1.36,0.94,0,0.76,0.17,0,0,0,0,1.89,0.06,0.37,0,0.34,0,2
1.33,1.63,1.44,0.91,0.02,0.98,0.02,0.42,0,0.5,0,0,1.15,0,1.51,0.46,0,2
0.07,0.04,3.21,0.52,0,1.32,0,0,0,0,0.43,0,1.02,0,0.23,0.11,0,2
0.16,0,2.35,0.3,3.37,5,3.28,2.43,1.57,2.44,0,0,0.03,0.4,2.15,0.18,0,2
0,0,1.45,0,0.79,3.37,2.75,0.76,0,1.15,1.14,1.2,1,0.57,0,0,0,2
0,0,0,0,0.94,2.01,2.14,1.78,0,0,1.43,0.72,0,0,0,0.12,0.86,2
0,0,2.78,0,3.02,4.38,3.67,3.09,1.35,0.04,1.01,1.06,0.67,0.34,0.86,0,0,2
0.35,0,0,0,0.93,0.89,0,0,0.02,1.83,0.87,0,0,0,0,0.19,0,2
2.29,1.78,0.32,2.09,0,0,0,0,0.47,0,0,0,0,0,1.62,1.66,0,2
0.62,0.44,2.22,1.13,0.85,1.33,0.84,1.81,0.02,0.12,1.35,0.25,1.05,0,1.87,0,0,2
0,0,2.26,0.53,0.45,2.98,0.85,0.66,0,0,1.37,1.6,1.23,0,0,0,0.1,2
0.14,0,2.33,0,0.66,2.16,0.49,0.14,0,0.53,1.17,0,1.98,0,0.5,1.25,2.09,2
0,0,0.02,0,1.52,3.14,3,2.1,0.79,2.82,0,1.11,0.1,0,0,0.09,2.6,2
0.74,0,1.45,0.01,1.19,2.59,1.04,0.48,0.59,0.95,0,0,0.38,0.38,0.06,0.07,0,2
0,0,0.83,0,1.76,1.4,1.37,1.87,0,0.86,1.19,1.16,0.49,0,0.68,0,0.71,2
0,0,2.81,0,1.95,2.93,2.02,1.85,1.17,1.25,0,0,0.21,0,1.65,0.05,0.28,2
0,0,0.5,0,0.85,2.88,1.11,0.13,0.14,0,1.38,1.4,0,0,0,1.19,0,2
0.47,0,1.67,0,2.08,2.05,2.67,1.8,0.57,0.79,1.47,1.5,1.4,0,0,0,0,2
0,0.82,0,0.02,1.59,2.19,1.29,1.33,0.58,0.63,0.08,1.42,1.01,0.71,0.46,0.59,1.42,2
1.33,0,0.91,0.11,0.65,1.75,2.01,1.02,0,0.28,1.9,0.54,1.33,0,0.42,0,0,2
0.85,0.74,0,1.61,0,0,0,2.64,0.12,0.37,1.59,0.55,1.45,0,0.57,0,0,2
0.1,0,0,0,1.07,1.95,2.54,0.81,0,0,0.66,1.3,0.31,0,0,0.35,0,2
0,0,0,0,2.59,4.42,2.4,0.85,1.91,2.67,0.03,0.42,0.75,0.87,0.01,0,0,2
0,0,0.34,0,0.92,1.66,1.3,1.53,0.48,0,0.3,0,0.33,0,1.74,1.66,0,2
0,0,0.93,0.56,3.42,3.93,3.69,3.03,1.15,1.3,1.02,0.98,2.3,0,3.05,1.04,0,2
0,0,0.38,0.18,1.16,2.57,1.82,1.33,0.64,1.19,1.09,1.08,1.34,0.04,0.84,0.33,0.57,2
1.13,0.1,0.08,0,1.53,1.73,2.04,1.03,0,0.33,1.52,0.78,1.16,0,0.58,0,1.54,2
0.98,0,2.05,0.6,2.4,0.59,1.12,2.22,0.71,0,1.36,1.8,0,1.34,0.25,0,0.72,2
0,0,0,0,0.34,1.23,1.87,0.38,0,0,1.34,2.33,0,0.07,0,0,0,2
0.88,0.16,0,0,2.08,3.93,2.64,0.23,0.91,1.18,0,0.73,0.47,0.15,0.2,0.51,0.54,2
0,0,1.97,0,1.88,4.82,3.46,0.87,0.58,1.02,0,0,0.95,0,1.92,1.07,0.27,2
0,0,2.99,0.97,1.53,4.06,1.32,1.67,0,0,0.54,1.49,0,0.09,0.88,0,0,2
0.82,0.31,1.36,0,2.61,0,0,2.55,2.35,2.24,0,0.1,0.53,0,2.05,0,0.04,2
0,0,0.51,0,1.63,3.89,3.36,1.24,0,0.47,0,1.64,0,0.22,0,0.46,0.94,2
0.31,0,0.19,0.06,2.45,1.81,1.29,2.48,1.8,0.99,0,0,0,0,1.72,0.66,0.67,2
0,0,1.78,0,2.26,0.65,3.52,2.41,1.5,1.39,0.06,0,0,0,2.83,0,1.54,2
0,0,0.52,0,1.86,5,3.54,1.34,0.54,0.46,0.59,0.7,0.06,0.01,1.01,0,0,2
0.42,0,4.7,0.57,1.59,2.75,2.05,2.8,0,0,2.56,1.42,0.16,0,1.41,0.25,0,2
