 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,emotion
1.91,0.39,2.33,0.78,1.78,1.76,0,0.54,1.34,1.85,0,0.83,1.78,0.25,0.46,1.33,0,0
0.86,0.29,2.68,0.58,3.16,5,3.88,3.78,1.27,1.15,0.81,1.29,0,0,2.56,0.31,0,0
0.07,0,0.6,0,1.99,4.03,2.5,1.44,1.09,0,1.3,0.78,0.85,0.73,1.47,0,0,0
1.96,0.95,2.28,1.34,0.99,2.95,0.68,1.46,0.58,0.47,1.29,0.54,0.4,0,1.93,0,0,0
0,0,1.55,0,1.57,1.17,1.95,1.51,0.43,0.57,0.72,0.08,0.1,0,0.2,0,0,0
1.91,0.74,1.08,0.79,0.51,1.35,0.99,0.85,0.67,0.12,0.29,0,0.35,0,1.34,0,0,0
0.22,0,0.44,1.05,1.18,1.76,1.87,0.2,0.66,0,0.35,0,0.74,0,0.79,0.32,0,0
0.48,0,0.73,1.09,0.51,1.85,1.57,0,0,0.24,0,0,0.28,0,0.41,0,0,0
0.84,0,1.05,0.99,1.29,0.75,1.85,1.34,1.19,1.02,0,0.2,0,0,0.79,0.77,0,0
0,0,1.36,1,1.07,1.93,2.09,1.05,0.37,0.37,0.34,0,0,0,0.54,0.36,0,0
1.66,1.18,0.96,0.24,0.65,0.47,1.23,1.89,1.18,1.61,0,0.49,0.41,0,1.18,0.29,0,0
0.36,0,1.01,0.75,1.37,2.86,2.49,1.86,0.87,0.46,0.24,0,0.56,0.18,1.34,0.66,0,0
2.58,2.87,0,1.95,1,0.64,0,0.32,1.04,0.14,0,0,0,0,2.12,0.77,0,0
2.15,1.76,0,0.99,1.83,1.42,0.5,0.88,1.69,0,0.16,0,0.43,0,2.97,0,0,0
0,1.46,0.59,2.22,0.43,1.91,1.16,0.76,0,0,1.02,1.78,0.15,0,1.91,1.72,0,0
1.19,1.16,1.4,0,0.6,0.65,0.47,0.53,0.57,1.02,0.21,0.4,0.71,0.64,0.68,0.48,0.33,0
2.7,1.99,3.17,0,1.77,3.06,1.18,1.99,1.27,0.75,1.42,0.9,0.96,0,4.27,2.64,0.83,0
