 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,emotion
0.84,0,2.41,1.04,2.47,3.83,0,1.18,0.66,0.32,0.58,0,2.62,0.14,2.87,0.52,0.73,5
1.24,0,1.92,0.91,2.78,4.04,0.27,1.26,1.57,0.2,0.81,0,1.83,0,3.28,0,1.22,5
1.7,0,1.65,0.34,2.26,3.01,0,1.86,1.09,0.45,0.76,0,2,0.11,2.16,0,1.17,5
1.56,0,2.17,0.8,2.38,3.53,0,1.77,1.02,0.45,0.54,0,2.39,0,3.22,0.85,1.29,5
1.17,0,2.58,0.06,2.73,4.56,0.06,2.11,1.2,1.04,0.48,0,2.11,0,3.7,1.13,1.03,5
0.28,0,1.21,0,2.7,4.07,0,0.75,1.51,0.83,0.1,0,1.83,0,2.92,1.36,0.94,5
1.44,0,1.05,2.15,1.35,1.71,1.76,1.24,0.31,0.37,1.07,0.74,1.74,0.26,1.13,1.64,0,5
2.81,1.53,2.9,0.7,0.28,0.7,0.12,1.68,0.71,1.53,0.9,0.91,0.89,0,0.7,0.74,0,5
1.84,0.7,1.22,0,1.87,4.33,1.4,1.32,1.03,0.02,0.55,0,0,0,1.53,0.52,0,5
0.34,0,2.03,0,2.21,1.14,0,1.29,1.36,0.46,0.69,0.79,0.93,0,0.41,0,1.71,5
2.07,0.09,0.03,1.02,1.56,2.2,1.91,2.8,1.95,1.06,1.79,1.52,0.61,0.29,0.41,0.19,0,5
1.51,0.23,1.65,0,2.37,2.78,1.27,1.49,1.42,0,2.35,0,2.31,0,2.45,0.87,1.62,5
2.02,1.4,0,0.5,0.53,0.18,0,0.21,0,0,3.45,0.25,1.96,0,2.04,0.5,0.21,5
1.73,0.82,1.35,0,1.91,3.53,1.43,1.33,0.28,1.02,2.56,1.25,2.39,0.6,1.15,1.04,1.99,5
0.6,0.46,0.74,0.51,1.33,1.58,0.42,0.87,0.73,0,1.17,0,1.06,0,2.2,1.32,1.53,5
1.93,0.92,0.56,0,1.21,1.86,0.3,0.6,0,0,2.7,0.07,1.57,0,1.73,1.21,1.69,5
2.34,0,1.51,0.02,2.92,3.96,1.45,1.41,1.45,0.58,1.37,0.11,1.33,0,2.07,1.4,1.54,5
3.27,2.41,0,0.09,0,0,0,0,0.17,0,1.64,0,0.27,0,1.45,0.46,1.46,5
2.69,0.55,4.62,1.38,1.18,3.3,0.81,1.43,0.61,0.5,2.74,3.19,1.57,0,0.67,0,0.41,5
0.17,1.08,0.99,0.41,1.34,1.39,1.36,0.73,1.48,0.52,0,0,0.6,0,2.13,0.01,0,5
0,0,0.26,0,0,0,0.34,0,0,0.29,0,0,1.03,0,0,0,0,5
2.74,2,0.84,0.05,1.72,1.23,0.66,2.44,0.86,0,2.17,0.13,1.6,0,1.96,0.98,1.14,5
0.29,0,0.45,0,2.46,1.59,1.13,1.77,1.39,1.92,0.01,0.92,0.05,0,0.24,0.23,1.47,5
0.37,0,1.07,0,2.83,3.66,1.36,1.87,2.25,2.1,0.31,1.52,0.5,0.3,0.46,1.24,1.77,5
0.89,0.39,1.34,0,2.49,3.37,1.62,2.04,1.51,1.96,0.75,1.4,0.68,0.37,0.71,0.82,2.01,5
0.49,0,1.19,0,2.01,3.06,1.63,2.19,1.17,1.76,1.23,1.59,0.2,0.55,0.28,0.05,1.76,5
0.15,0,0.83,0,2.27,3.52,1.17,2.12,2.15,2.22,0.41,2.02,0.11,0.83,0.4,0.93,1.6,5
0.24,0,1.37,0,2.64,2.69,1.49,1.89,2.25,2.58,0.78,2.21,0.42,0.45,0,0.99,1.38,5
0.41,0.67,1.68,0,1.51,3.29,1.57,1.6,0.33,0.63,0.78,1.79,0,0.2,0.68,0.68,1.91,5
0.7,0,1.76,0,2.17,3.09,1.51,1.53,1.49,2.14,0.74,1.15,0.48,0,0.64,0.77,1.83,5
1.84,1.04,2.71,0,2.93,2.67,1.62,2.17,2.64,3.51,0,0.84,0.23,0.17,1.05,1.06,1.44,5
1.57,1.12,3.18,1.54,1.45,1.91,1.8,1.22,0.11,0.5,2.04,1.84,1.52,0.09,0.71,0,0,5
0.3,0,1.93,0,2.37,3.45,1.78,1.94,1.64,2.16,1.2,1.82,0.42,0,0.92,0.86,1.74,5
0.67,0,2.28,0,2.63,3.5,1.51,1.33,2.17,2.09,0.82,0.56,0.85,0.17,0.71,0.57,1.69,5
0.71,0,1.66,0,2.51,3.59,0.84,1.68,1.88,1.85,0.59,0.62,0.97,0,1.67,0.95,2.12,5
1.94,1.14,1.41,0,1.6,2.27,0.42,1.5,2.21,2.01,0.52,0.42,1.07,0.03,1.01,1.63,0.98,5
0.65,0,0.01,0,2.37,2.85,0.38,2.02,1.22,0.9,1.58,3.06,0.11,0.79,0.15,1.09,1.42,5
0,0,0.54,0,2.56,3.5,0.92,1.8,1.93,2.39,0,1.04,0.46,0.18,0.35,0.79,1.57,5
0.19,0,1.9,0,2.74,3.32,1.32,1.38,1.77,2.45,0.06,1.45,0.56,0.37,0,1.04,1.72,5
0.5,0.3,1.75,0,2.79,3.83,1.21,1.32,2.29,2.48,0,1.16,0.55,0.23,0.78,1.33,1.33,5
0,0,1.44,0,2.73,3.62,1.21,1.55,1.78,2,0.72,1.66,0.91,0.32,0.82,1.29,1.75,5
3.06,1.11,2.66,0,1.43,0.39,0,2.46,1.14,2.38,1.68,2.52,0.48,0,0.04,0,0,5
2.03,0.2,1.89,0.9,0,1.33,0,0,0,0,0.74,0.18,0.86,0,0.4,0,0,5
1.61,0.51,2.06,0.31,0,0.36,0,0.08,0,1.04,1.22,1.48,1.02,0,0.02,0,0,5
1.86,0.06,1.91,0.56,0.73,1.33,0,0.03,0.48,0.38,0.64,0.59,1.02,0.37,0.12,0,0,5
2.72,1.15,2.78,0,1.58,0.6,0,1.36,1.31,0.99,1.49,0.82,1.63,0,0.82,0,0,5
3.48,2.74,2.45,0,0.75,0.51,0,0.43,0.92,0.1,0.95,0.95,0.97,0,0.75,0,0.14,5
1.89,0.43,2.2,0,1.05,2.99,0,1.22,0.52,0.98,1.47,1.94,1.19,0.28,0.01,0,2.4,5
2.3,0.36,2.37,0.18,0.48,0,0,1.54,0.59,1.67,1.46,1.83,0.96,0,0.07,0,0.04,5
1.51,0,2.42,0,1,3.2,0,1.52,0.74,0.84,1.58,2.13,0.66,0.04,0.49,0.06,0.43,5
1.16,0,2.47,0,2.04,4.27,0.61,1.84,0.65,1.34,2.85,2.26,1.68,0,0.56,0.13,1.12,5
1.8,0.35,2.71,0,0.91,0.95,0,1.78,0.52,0.42,2.3,2.07,2.04,0,0,0,0,5
2.83,1.23,2.71,0,1.29,3.15,0.43,0.58,0.21,0.15,2.19,1.13,1.71,0,0.96,0,0.85,5
0.92,0.58,0.45,1.23,0,0.4,0,0,0,0,0.99,0.58,0.4,0,0.34,0,0,5
2.49,1.32,2.4,0.48,0.51,0.78,0,0.98,0.68,0,0.92,2.87,0.08,0.58,0.05,0,0,5
2.08,1.58,1.82,1.08,0.36,0.77,0,0.27,0.12,0,0.51,0.19,1.02,0.08,2.25,0.48,0,5
1.28,0.13,2.29,0.05,0.05,1.84,0.24,0.29,0,0.28,1.15,1.37,0.06,0,0.07,0,0,5
2.04,0.46,3.16,0.02,0,1.44,0,0.17,0.21,1.68,0.22,1.29,0.28,0.08,0,0.19,0,5
2.16,0.52,3.45,0,1.47,3.68,0.22,2.21,1.24,1.88,1.72,1.88,1.38,0,0.42,0,2.06,5
2.22,0.69,3.22,0,0.74,2.14,0,1.5,0.77,2.15,0.85,1.91,0.94,0,0.77,0,0,5
1.62,0.6,0.47,0,0,0,0,0.24,0,0,0.73,0.77,0,0,0.32,0,0.03,5
