 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,emotion
2.7,2.92,1.77,3.21,0,0,0.1,0.03,0,0,0.18,0,0,0,1.58,0.33,0,6
2.16,2.79,1.48,3.74,0,0,0.09,0,0,0,0.77,0.78,0,0,2.03,1.68,0,6
2.36,3.09,0.67,3.68,0,0,0,0,0,0,0.72,0.65,0,0,0.36,0.12,0,6
2.05,2.24,0.4,2.66,0,0,0.25,0,0,0,0.87,0.42,0.39,0,0.63,0.38,0,6
2.59,0.42,1.3,1.17,0,0.43,0.32,0.1,0,0,0.89,0,1.32,0,1.77,0,0,6
3.99,1.97,1.67,2.86,0,0.46,0.06,0,0,0,1.72,0.22,1.63,0,2.43,0,0.15,6
3.5,2.87,2.59,1.94,0,0,0,0,0,0.05,0.31,0.57,0.48,0,2.27,0,0,6
2.42,2.72,1.48,3.32,0,0.12,0,0.94,0.19,0,0.63,0,0.47,0,3.31,1.58,0,6
3.86,3.5,2.08,3.22,0,0,0,0.24,0.13,0,0.58,0,0,0,4.25,0,0,6
4.03,4.13,1.36,3.85,0.05,0,0.38,0,0.55,0,0.85,0,0,0,3.57,0,0,6
3.1,3.15,1.28,3.11,0,0,0,0.17,0.08,0,0.22,0,0,0,2.65,1.73,0,6
3.22,2.93,0.82,3.21,0,0,0.08,0,0,0,0.75,0,0,0,2.75,0,0,6
2.6,3.3,1.29,2.46,0,0,0,0,0.06,0,0.52,1.14,0.76,0,1.32,1.24,0,6
3.17,2.27,0.2,2.47,0,0,0,0,0,0,1.03,0,1.04,0,1.48,0,0,6
2.12,1.44,1.49,0.62,0,0.02,0,0,0,0,0.35,1.05,0.8,0,2.11,2.33,0.11,6
2.44,2.4,0.67,3.34,0,0,0,0,0,0,0.28,0.46,0.85,0.2,1.35,0.79,0,6
3.01,2.24,2.67,1.51,0,0.37,0.2,0.48,0,0.1,0.24,1.29,1.12,0,1.78,1.28,0,6
3,3.23,0.39,2.79,0,0,0,0,0,0,0.76,0,0.59,0,2.15,0.52,0,6
2.81,3.01,2.16,2.88,0,0,0,0.24,0,0,0.49,1.28,1.11,0,1.89,1.67,0,6
2.7,1.81,1.21,1.93,0,0,0,1.07,0,0,0.59,0,0.06,0,2.06,1.77,0,6
2.82,2.27,0.55,1.37,0,0,0,0.33,0,0,1.08,0.57,0,0,1.31,1.05,0,6
2.06,1.78,1.47,3.61,1.06,2.48,0.63,1.85,0.87,0,0.44,0.35,0,0,3.53,0.45,0,6
2.62,1.8,0.94,2.1,0,0,0,0,0,0,1.22,0.61,1.07,0,1.65,0,0,6
1.6,0.9,2.46,0.35,0.09,0.44,1.01,0.97,0,0,1.05,0.87,0.59,0,2.45,1.32,0,6
2.79,3.94,1.19,3.92,0,0,0,0.4,0,0,0.73,1.03,0.6,0,1.58,1.71,0,6
4.57,3.69,1.93,4.2,0,0,0,0.21,0.49,0.19,0.59,0.17,1.29,0,2.19,0,0,6
2.93,2.66,1.44,2.32,0,0,0,0.9,0,0,0.73,0.51,0.44,0,2.38,1.31,0,6
3.72,3.3,2.4,2.2,0,0.27,0,0.83,0.05,0,0.77,0.8,0.45,0,2.61,0,0,6
2.56,2.4,2.27,1.23,0,0,0.07,0.53,0,0.74,0.43,0.56,1.36,0,3.02,0.86,0,6
4.67,1.02,0,1.37,0,1.13,0,2.48,0,0.56,0.92,0.84,0.81,0,0.59,1.07,0.53,6
1.41,2.5,3.85,4.34,0.46,0.18,1.07,1.55,0,0,1.11,0,0,0,4.82,2.55,0,6
2.73,2.1,1.5,3.64,1.47,1.31,0,1.72,0.53,0.39,1.76,0,1.13,0,4.23,0.18,0,6
2.92,1.14,2,1.33,0,1.03,0,0.62,0,0,1.06,0.81,0,0,2.65,0.44,0,6
3.29,3.95,3.11,4.15,0,0.14,0,0,0,0,1.35,0.05,0,0,3.62,1.11,0,6
2.04,2.01,1.18,5,0.57,0.39,0,1.91,0.24,0,1.03,0,0,0,4.03,1.02,0,6
2.22,1.95,1.74,4.12,0,0,0,0,0,0,1.84,0.83,0,0,2.41,0.59,0,6
3.18,3.05,2.92,4.16,0.56,0,0.61,1.62,0,0,2.01,0,0.01,0,4.52,1.43,0,6
3.48,3.59,2.1,3.57,0,0,0,1.35,0.13,0,1.78,0,0,0,4.45,0.98,0,6
3.71,2.03,2.26,4.16,0.01,0.34,0,1.07,0,0,2.08,0.05,0.83,0,3.81,0,0,6
2.61,2.44,0.07,2.83,0,1.86,0,0,0,0,0.7,0,0,0,1.98,1.6,0,6
3.25,3.05,0,4.29,0,0.7,0,0,0,0,0.95,0.6,1.48,0.27,1.38,1,0,6
0.18,1.73,0.62,0.73,0,0.74,1.33,0.36,0,0,0.01,0,0,0,0.93,1.87,0,6
1.39,2.03,1.09,2.37,0.61,0,0,0.2,0.51,0,0.03,0,0,0,1.47,0.44,0,6
3.02,2.84,1.52,3.34,0,0.25,0,0,0,0,0.44,0,0,0,3.53,1.8,0,6
0.54,0,0.75,1.86,0.1,1.13,1.27,0.68,0,0,1.28,0,0,0,1.83,1.58,0,6
0.39,0,0.41,0,0.15,0.37,1.26,1.62,0.94,1.02,1.32,0,0,0.03,3.05,1.06,0,6
0.86,0,1.9,1.85,0.98,2.51,1.61,0.74,0.04,0,0.42,0,0.43,0,1.41,1.83,0,6
0.84,1.32,0.4,1.73,0,0,0,0,0,0,0.85,0,0,0,0.71,1.23,0,6
0.92,2.16,0,3.35,0,0.81,0,0,0,0,0.62,0.28,0.04,0,0.72,0.68,0,6
2.2,2.51,0.01,3.46,0,0,0,0.55,0.56,1.29,0.4,0.37,0,0,0.63,0.33,0,6
2.15,2.39,0,2.9,0,0,0,0,0.42,0,0.71,0.24,0,0,0.99,0.64,0,6
2.19,2.35,0,4.81,0,0,0,0,0,0,0.51,0.28,0.04,0,0.59,0.47,0,6
1.5,1.77,0,3.9,0,0,0,0.59,0.59,0,1.2,0.64,0.22,0,1.23,0,0,6
1.2,1.39,1.22,3.58,0,0,0,0,0.06,0,0.65,0,0.18,0,1.84,1.63,0,6
2.92,2.07,2.3,2.78,0.31,0,0,0.34,0.25,0.29,0.53,0.1,0.09,0,2.92,1.47,0,6
3.03,3.87,1.36,4.48,0,0,0,0,0.34,0,0.06,0,0,0,2.07,1.4,0,6
1.64,2,0,3.52,0,0,0,0,0.16,0,0.34,0.07,0,0,1.2,0.35,0,6
2.32,2.3,0.78,2.85,0,0,0,0,0,0,0.85,0,0.89,0,0.99,0.82,0,6
1.49,1.79,0.31,3.46,0,0,0,0,0.38,0,0.24,0.12,0,0,0.58,0.43,0,6
2.39,2.63,0,3.29,0,0,0,0.44,0.3,0,0.65,0.73,0,0,0.64,0,0,6
0.76,1.04,0.85,2.82,0,0,0,0,0.38,0,0.95,0,0.06,0,0.95,0.34,0,6
0.95,1.49,0.97,3.15,0,0,0,0,0,0,0.79,0.06,0,0.32,0.27,0.7,0,6
0.63,1.65,0,4.74,0,0.55,0,0,0,0,0.99,0.55,0,0.02,0.4,0.36,0,6
0.57,2,0.3,3.27,0,0.58,0,0,0,0,0.84,0.1,0.08,0.02,0.58,0.17,0,6
1.45,1.93,0,2.44,0,0,0,0,0,0,0.4,0.41,0,0,0.4,0.61,0,6
0.97,2.2,0,3.43,0,0,0,0,0,0,0.48,0.44,0,0,0.48,0.56,0,6
3.64,3.42,2.26,4.61,0,0,0,0.25,0.73,0,1.12,1.47,0.64,0,2.65,0,0,6
2.72,1.47,0.63,2.22,0.04,1.48,0,0.68,0,0,1.23,0.13,0.99,0,2.26,1.99,0,6
1.7,1.78,0.13,3.68,0,0,0,0.08,0,0,0.55,0.67,0.27,0,0.49,0,0,6
2.09,1.43,0.38,2.7,0,0,0,0.14,0.89,0,1.99,1.15,1.42,0,1.76,0.52,0,6
0.03,0.29,0.62,1.4,0,0.23,0,0,0.17,0,0.53,0.16,0.34,0,0.9,0.46,0,6
1.86,1.97,0,1.7,0,0,0,0,0.18,0,0.49,0,0,0,0.54,0,0,6
0,1.27,0.56,3.62,0,0.16,0,0,0.23,0,0.66,0.27,0,0,0.8,0.86,0,6
1.28,0,0,0,0.68,1.65,0,0.83,0.08,0,2.33,0.27,1.19,0,1.2,0,0,6
1.39,0.83,1.19,0.15,1.05,0,0,1.14,0.47,0.6,0.94,0.52,0.5,0,0.74,0.35,0,6
1.29,0,0.56,0.71,0.63,0.3,0.38,1.02,0.34,0.33,1.3,0.25,1.36,0,1.46,0.1,0,6
3.64,3.42,0,5,0,0,0,0,0.62,0,0.98,0,0.04,0,2.19,0.22,0,6
3.11,3.31,0.44,4.41,0.03,0,0,0,0.11,0,0.31,0,0,0,3.66,1.51,0,6
0.65,1.95,0.02,3.55,0,0,0,0,0,0,0.59,0,0,0,0.49,0.25,0,6
1.44,1.99,0,3.88,0,0,0,0,0,0,0.47,0,0,0,0.12,0.18,0,6
3.06,2.21,1.17,3.38,0,0,0,0.78,0.5,0,1.05,0.18,0.8,0,1.75,0.39,0,6
1.63,1.03,0.55,3.1,0,0,0,0,0,0,0.33,0,0.08,0,0.82,0,0,6
3.11,2.12,0.39,5,0,0,0,0.15,0.84,0,1,0.26,1.04,0,1.59,0.54,0,6
0.96,1.31,0.2,2.99,0,0.27,0,0,0.13,0,1.13,0.31,0.78,0,1.94,0,0,6
1.43,1.47,0.17,2.78,0,0.5,0,0,0,0,0.78,0,0.08,0,2.69,1.35,0,6
1.12,0,0.81,2.09,0,0.16,0,0.1,0.53,0,1.39,0,1.17,0,1.82,0,0,6
1.05,0.51,0.5,1.99,0,0,0,0,0.13,0,0.96,0.25,0.34,0,0.85,0.36,0,6
1.52,1.18,0.44,2.39,0,0.17,0,0,0,0,0.62,0,0.42,0,1.73,1.44,0,6
1.06,0.91,1.72,0,0.75,0.42,0.46,0,1.15,0,0.86,0,0.38,0,2.39,1.27,0.55,6
0.98,1.21,0.23,3.74,0,0.68,0,0,0,0,0.31,0.14,0.07,0,0.88,0.67,0,6
1.23,1.83,0,3.87,0,0,0,0.59,0.33,0,0.97,0.23,0,0,0.43,0.1,0,6
2.35,1.28,0.61,0,0.03,0,0.17,0,0,0,1.56,0,0.62,0,2.4,0.86,2.9,6
2.7,2.61,0,0.82,0,0,0,0,0,0,1.88,0,0.72,0,2.49,1.76,0.23,6
2.15,1.25,0,0.47,0,0,0,0,0,0,2.3,0,0.65,0,2.85,1.41,0.14,6
1.47,2.36,0,1.2,0,0.05,0,0,0,0,2.26,0,0.36,0,2.55,2,0,6
2.73,2.46,0,0.29,0,0,0,0,0.04,0,2.25,0,0.27,0,1.65,0.9,0,6
2.78,1.3,0,0,0,0,0.19,0.92,0.06,0,1.43,0,0.22,0,1.26,0,1.11,6
3.21,3.94,0,1.21,0,0,0,0.72,0.36,0,1.91,0.26,1.06,0,2.31,0.33,0.03,6
2.31,2.03,0.91,2.31,0.85,0,0,1.02,0,0.65,1.48,0.48,1,0,1.57,1.41,0,6
1.69,1.58,1.24,3.01,0,0,0,0.29,0,0,0.57,0.08,0,0,2.13,0.48,0,6
1.77,0.42,0.92,2.06,0.35,1.89,0.53,0.9,0,0,1.56,0,0.32,0,2.7,1.58,0,6
2.99,4.05,1.44,4.67,0,0,0,0,0.04,0,0.57,0,0,0,1.55,0.23,0,6
2.53,3.52,1.32,4.63,0,0,0,0,0,0,0.4,0.13,0,0,2.14,1.06,0,6
2.39,3.66,0.67,2.38,0,0,0,0.4,0,0,0.37,0.33,0,0,1.16,0.86,0,6
2.44,2.76,1.03,3.74,0,0,0,0,0.07,0,0.23,0.87,0,0,0.68,0.25,0,6
3.15,3.71,0.05,5,0,0,0,0,0,0,0,0,0,0,1.23,1.06,0,6
2.18,2.96,0,2.93,0,0.11,0,0,0,0,0.42,0.08,0,0,1.1,2.02,0,6
2.86,2.52,0.17,2.43,0.31,1.11,0,0,0.55,0,0.95,0,0.34,0,1.25,0.52,0,6
3.42,3.36,0,3.48,0,0.21,0,0.19,0.31,0,0.43,0,0.25,0,1.48,1.87,0,6
2.58,3.56,0,4.27,0,0.66,0,0,0.13,0,0.39,0,0.12,0,1.21,1.49,0,6
2.17,1.21,1.8,1.38,0,0,0,0,0,0,0,0,0.13,0,0.92,0.52,0,6
3.05,2.36,0.38,2.21,0,1.36,0,0,0.22,0,0.99,0,0.53,0,1.7,1.38,0,6
1.74,1.34,0.01,2.37,0.06,1.67,0.03,0,0,0,1.06,0.82,0,0,0.96,1.46,0,6
1.79,2.01,0.28,1.42,0,1.47,0.26,0,0.18,0,1.15,0.33,0.37,0.13,1.23,1.79,0,6
2.9,3.5,0.21,3.19,0,0.6,0.16,0,0.2,0,1.04,0.32,0.36,0,1.74,2.1,0,6
2.5,3.36,0.34,2.85,0,0.83,0.09,0,0,0,0.68,0.44,0,0,1.14,1.93,0,6
2.81,2.96,0.24,2.89,0,1.26,0,0.13,0.21,0,1.32,0.23,0,0,1.21,1.09,0,6
0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,6
3.16,3.04,1.53,1.77,0,1.13,0.18,0,0.28,0,0.99,1.15,0.37,0,1.81,1.79,0,6
2.7,3.06,0.64,1.07,0,1.19,0,0,0,0,0.9,0.59,0.35,0,1.46,2.36,0.2,6
1.65,1.92,0.42,2.23,0,1.36,0.4,0,0.04,0,0.95,0.51,0.7,0,1.47,2.5,0,6
3.6,4.44,0.39,2.32,0,0.77,0,0,0,0,0.74,0.83,0.19,0,1.22,1.84,0,6
3.18,3.22,0.67,2.18,0,0,0,0.41,0.21,0.01,0.36,0,0,0,1.75,0,0,6
4.29,4.2,0.89,2.32,0,1.12,0,0.66,0.97,0,0.97,0.19,0.07,0,1.6,0,0,6
2.6,3.24,0.47,1.38,0,0.55,0,0,0.29,0,0.98,0.73,0.26,0,1.71,1.95,0,6
3.28,4.83,0.31,3.22,0,0,0,0,0.38,0,0.77,0,0,0,1.54,1.39,0,6
3.35,5,1.4,3.11,0,0,0,0,0.4,0,0.64,0.45,0.4,0,1.85,1.59,0,6
2.91,3.81,1,2.81,0,0,0,0,0.48,0.04,0.57,0.65,0.57,0,1.28,1.16,0,6
