 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,emotion
2,1.62,0,1.04,0.09,0,0,0.76,0.47,0.94,0.81,1.33,0,0,0.51,0,0,4
1.07,0,0.78,0.42,0,0,0,0,0.18,0.42,0.87,0.11,1.9,0,0.3,0,0,4
2.67,1.79,0,0.62,0.77,1.21,0,0.58,1.01,0,1.8,0,2.13,0.03,1.4,0.31,0,4
0.08,0.68,0,0.7,0,0,0,0,0.24,0,0.03,0.52,0,0,0.33,0,0,4
1.98,1.27,0.36,0.39,0,0,0,0,0,0,0.79,0.5,0,0,0.15,0,0,4
1.25,0.43,0.67,0.86,0,0.42,0,0,0,0.41,0.64,0.74,0,0,0,0,0,4
2.49,0.72,0.49,1.16,1.39,1.64,0,0,0.45,1.64,0.28,0.44,2.57,0.46,0,0,0,4
1.86,1.75,0.35,0.21,0.23,0,0.11,1.74,0.16,2.2,0.11,0.92,0.44,0,0,0,0.12,4
2.38,1.58,0.13,0,0.95,1.25,0.64,0.43,0.35,0,1.75,1.49,0.96,0.25,0.86,0.19,0,4
1.42,0.34,1.91,0.71,0,0,0,0.39,0,0.98,0.02,0.76,0,0,0.74,0.35,0,4
3.44,2.53,0.24,0,0.3,0.11,0.39,1.1,0.83,0.01,0.76,1.48,0.8,0.61,0.74,0.75,0,4
1.48,0.35,1.53,0.15,0.81,2.58,0.47,0,0.02,0,0.69,0,0.43,0,0.91,0.49,0.04,4
1.58,2.04,0.88,2.12,0.63,0,0.39,1.07,0.69,0.08,0.19,1.33,0,0,1.2,1.42,0,4
2.08,0.62,1.89,0,0.82,1.67,0.3,0,0.47,0,1.18,0.36,1.77,0,1.32,0.16,0,4
1.97,1.27,0.47,1.54,0.23,0,0.26,0,0.18,0,0.25,0,1.05,0,1.41,0.35,0,4
